level1,level2,boss
1.447,9999.999,9999.999
10.916,9999.999,9999.999
9999.999,6.473,9999.999
9999.999,9999.999,1.902
1.577,9999.999,9999.999
9999.999,1.474,9999.999
9999.999,9999.999,0.473
2.778,9999.999,9999.999
9999.999,1.417,9999.999
9999.999,9999.999,0.016
9999.999,9999.999,6.319
2.446,9999.999,9999.999
9999.999,12.61,9999.999
9999.999,9999.999,15.386
2.502,9999.999,9999.999
9999.999,1.656,9999.999
3.095,9999.999,9999.999
3.76,9999.999,9999.999
2.823,9999.999,9999.999
2.904,9999.999,9999.999
9999.999,9999.999,9.285
9999.999,2.471,9999.999
9999.999,9999.999,11.546
9999.999,2.13,9999.999
9999.999,3.669,9999.999
9999.999,2.257,9999.999
18.184,9999.999,9999.999
2.256,9999.999,9999.999
9999.999,1.458,9999.999
9999.999,9999.999,2.981
9999.999,9999.999,2.737
9999.999,9999.999,6.72
2.365,9999.999,9999.999
9999.999,1.567,9999.999
9999.999,9999.999,0.017
4.706,9999.999,9999.999
9999.999,2.842,9999.999
9999.999,9999.999,0.024000062
2.12,9999.999,9999.999
1.572,9999.999,9999.999
9999.999,1.431,9999.999
9999.999,9999.999,5.453
